month,year,county,num_retailers,num_returns,gross_sales,retail_sales,state_net_taxable_sales,state_sales_tax
12,2019,Chaffee,,5532,94379000,66938000,36230000,1018000
6,2019,Jefferson,,37294,2245013000,1733934000,853715000,24050000
1,2019,Saguache,,948,6608000,5764000,2345000,66000
9,2015,Clear Creek,,1660,26235,21215,9816,276
9,2020,Costilla,,1461,6293000,5568000,2316000,
10,2020,Eagle,,16474,271984000,237264000,144831000,
12,2018,Bent,,1596,4937000,4546000,2163000,61000
4,2017,Sedgwick,,625,4040000,3723000,1387000,39000
11,2019,Larimer,,23241,1186877000,961481000,557776000,15704000
9,2016,Clear Creek,,1820,24828000,20654000,10610000,298000
1,2019,Teller,,2460,36269000,33154000,18607000,533000
12,2015,Elbert,,2095,70202,32546,12172,342
8,2018,Morgan,,2517,98767000,82315000,34485000,968000
2,2017,Garfield,,4338,208060000,187951000,83587000,2349000
10,2019,Logan,,3381,104778000,56745000,26818000,754000
7,2020,Yuma,,3238,61537000,52789000,15450000,
10,2020,Arapahoe,,41929,2563612000,1980514000,1160269000,
1,2019,Arapahoe,,20990,1975304000,1498771000,868805000,24436000
4,2017,Rio Blanco,,905,21928000,13276000,5366000,151000
6,2015,Park,,1604,17889,16788,8435,237
8,2019,Summit,,8335,226523000,203706000,132901000,3731000
10,2015,Las Animas,,1292,30656,25945,14259,400
1,2019,Routt,,3134,134464000,124172000,75803000,2129000
2,2019,Dolores,,448,4454000,2042000,1344000,38000
5,2015,Montrose,,2006,92654,81358,43243,1215
3,2018,Lake,,996,11479000,11033000,5938000,168000
4,2017,Rio Grande,,1406,22565000,21247000,6597000,185000
10,2016,Weld,,13596,1000322000,742967000,378946000,10659000
6,2018,Fremont,,3151,105521000,86891000,39036000,1103000
10,2019,Hinsdale,,521,2285000,2059000,1290000,36000
10,2015,Saguache,,794,6481,6358,2348,66
6,2016,Montezuma,,2020,74919000,61761000,31686000,900000
8,2016,Huerfano,,911,10774000,10351000,4161000,117000
3,2018,Chaffee,,2664,62481000,57975000,30609000,863000
5,2018,Grand,,3018,36310000,34557000,21916000,615000
7,2018,Saguache,,1016,9922000,9279000,2839000,80000
9,2020,Crowley,,1357,5855000,4284000,2263000,
10,2020,Broomfield,,6145,281151000,212499000,126419000,
3,2020,Pitkin,,6448,142717000,132939000,83985000,
10,2020,Montrose,,6465,145064000,124225000,69944000,
8,2016,Montezuma,,1681,68064000,53565000,29667000,849000
3,2018,Pueblo,,5474,555804000,429121000,193043000,5426000
6,2015,Gilpin,,853,13392,11376,6763,248
9,2015,Kit Carson,,1267,49899,41471,9509,267
6,2018,Sedgwick,,738,7708000,7345000,1568000,44000
9,2018,Eagle,,7718,235967000,222259000,132030000,3717000
8,2017,Arapahoe,,15419,2142058000,1687645000,979803000,27561000
6,2019,Bent,,987,4495000,3898000,2000000,56000
3,2018,Hinsdale,,380,817000,793000,459000,13000
8,2018,Dolores,,496,4942000,2676000,1550000,43000
10,2016,Dolores,,405,5549000,2482000,1169000,33000
7,2016,Saguache,,843,8215000,7846000,2455000,69000
12,2015,Routt,,3071,158853,134211,75000,2107
5,2017,Costilla,,709,2933000,2800000,1432000,40000
5,2017,Lincoln,,1027,19419000,18069000,6399000,180000
5,2019,Mineral,,545,2529000,2199000,1574000,44000
5,2015,Huerfano,,817,8718,8290,3181,88
5,2017,Kit Carson,,1268,37541000,34862000,7904000,222000
9,2017,El Paso,,19025,2073041000,1667122000,877482000,24699000
6,2015,Weld,,14845,1384224,999670,437338,12330
2,2020,Routt,,5425,162400000,150704000,88381000,
10,2020,Baca,,1774,10594000,9642000,5080000,
3,2019,Yuma,,2073,37065000,32022000,10603000,298000
6,2017,Grand,,3786,58846000,57065000,36914000,1037000
6,2020,Saguache,,2200,13105000,12128000,4603000,
10,2020,Pitkin,,7334,149150000,139964000,88687000,
2,2020,Archuleta,,2424,32190000,29892000,16891000,
10,2020,Teller,,5931,64851000,56765000,34043000,
6,2020,Chaffee,,6129,91463000,79492000,46450000,
10,2020,Boulder,,31698,1446231000,1111503000,552788000,
2,2017,Grand,,2735,59744000,58079000,30384000,853000
10,2017,Delta,,2470,47514000,42473000,22781000,640000
2,2020,Mesa,,11706,574852000,502549000,206803000,
10,2020,Logan,,4367,68692000,59548000,26558000,
7,2015,Phillips,,656,12239,10857,3177,89
12,2015,Alamosa,,1274,79045,53648,25810,725
9,2019,Alamosa,,2947,62466000,48505000,25480000,720000
12,2018,Denver,,24738,13905245000,3631816000,1629539000,46083000
9,2015,Chaffee,,2221,62398,55946,30218,848
7,2016,Mesa,,4855,407900000,362859000,198599000,5589000
6,2017,Archuleta,,1466,37349000,35641000,22317000,626000
5,2017,Pueblo,,3973,665485000,321142000,187860000,5281000
8,2020,Phillips,,1904,20602000,13489000,4426000,
10,2020,Bent,,1230,9280000,8642000,3057000,
12,2018,Kiowa,,1777,7747000,4356000,901000,25000
12,2016,La Plata,,3950,272266000,225516000,93177000,2620000
5,2019,Broomfield,,4137,251542000,208912000,121922000,3451000
12,2015,Mineral,,342,5129,5021,1454,41
2,2018,Park,,1722,12351000,11898000,4972000,140000
6,2015,Moffat,,1327,39538,34331,17754,498
10,2019,San Juan,,505,2597000,2401000,1841000,52000
